,address,categories,cc,city,country,crossStreet,distance,formattedAddress,id,labeledLatLngs,lat,lng,name,neighborhood,postalCode,Venue Type,state
0,300 Borough dr,Bus Station,CA,Scarborough,Canada,,199,"['300 Borough dr', 'Scarborough ON', 'Canada']",500b6cbde4b001d6c599ef3f,"[{'label': 'display', 'lat': 43.774406177958234, 'lng': -79.25774001667654}]",43.774406177958234,-79.25774001667654,Scarborough Centre Bus Station, Scarborough,,bus,ON
1,300 Borough Dr.,Bus Line,CA,Scarborough,Canada,Scarborough Town Center,210,"['300 Borough Dr. (Scarborough Town Center)', 'Scarborough ON M1P 4P5', 'Canada']",4c8525d3d92ea0930c136372,"[{'label': 'display', 'lat': 43.77469745990423, 'lng': -79.25672180845213}]",43.77469745990423,-79.25672180845213,GO Bus Terminal, Scarborough,M1P 4P5,bus,ON
2,,Bus Line,CA,Toronto,Canada,,147,"['Toronto ON', 'Canada']",4d40b86f255d8cfa43ba6805,"[{'label': 'display', 'lat': 43.77488906200092, 'lng': -79.25910865124533}]",43.77488906200092,-79.25910865124533,TTC Bus #21 - Brimley, Scarborough,,bus,ON
3,,Bus Line,CA,Toronto,Canada,,171,"['Toronto ON', 'Canada']",4e7ab3af62e12266ed7c2289,"[{'label': 'display', 'lat': 43.77503888626072, 'lng': -79.25692837838788}]",43.77503888626072,-79.25692837838788,Go Bus, Scarborough,,bus,ON
4,Mccowan,Bus Line,CA,Toronto,Canada,,442,"['Mccowan', 'Toronto ON', 'Canada']",4dc67e38ae608779d1552b6f,"[{'label': 'display', 'lat': 43.779276, 'lng': -79.255081}]",43.779276,-79.255081,TTC Bus #302 - Danforth rd - McCowan, Scarborough,,bus,ON
5,Triton Rd,Bus Stop,CA,Toronto,Canada,McCowan Rd,453,"['Triton Rd (McCowan Rd)', 'Toronto ON M1H', 'Canada']",5bca179f6bdee6002c72b932,"[{'label': 'display', 'lat': 43.775569, 'lng': -79.252851}]",43.775569,-79.252851,TTC Bus #133 - Neilson, Scarborough,M1H,bus,ON
6,McCowan TTC Stn,Bus Line,CA,Toronto,Canada,,512,"['McCowan TTC Stn', 'Toronto ON M1B 6C1', 'Canada']",4bfdaa63bf6576b00aa1adb8,"[{'label': 'display', 'lat': 43.774568152220866, 'lng': -79.25244104118552}]",43.774568152220866,-79.25244104118552,TTC Bus #133 - Neilson, Scarborough,M1B 6C1,bus,ON
7,Ellesmere & Brimley,Bus Line,CA,Scarborough,Canada,,924,"['Ellesmere & Brimley', 'Scarborough ON', 'Canada']",4c5b1dea5c57c9b663f91e4a,"[{'label': 'display', 'lat': 43.768012029060834, 'lng': -79.26089797872338}]",43.768012029060834,-79.26089797872338,Bus stop: 95 & 21, Scarborough,,bus,ON
8,300 Borough Drive,Bus Station,CA,Toronto,Canada,,255,"['300 Borough Drive', 'Toronto ON', 'Canada']",4f6647d3e4b06b308a0286ad,"[{'label': 'display', 'lat': 43.773987, 'lng': -79.257281}]",43.773987,-79.257281,Bus Stop 21, Scarborough,,bus,ON
9,,Moving Target,CA,,Canada,,175,['Canada'],56d6699f498e8b6981da06ce,"[{'label': 'display', 'lat': 43.77674874226029, 'lng': -79.26044101526026}]",43.77674874226029,-79.26044101526026,96B Go bus to Oshawa Go, Scarborough,,bus,
10,,,CA,Toronto,Canada,,199,"['Toronto ON', 'Canada']",4c6486f1d02b20a1d5289b90,"[{'label': 'display', 'lat': 43.77486, 'lng': -79.25668}]",43.77486,-79.25668,TTC Bus #1700, Scarborough,,bus,ON
11,Brimley Rd,Bus Station,CA,Toronto,Canada,,203,"['Brimley Rd', 'Toronto ON M1S 3X2', 'Canada']",4c8e417bd2aea09367c2cc69,"[{'label': 'display', 'lat': 43.77475914226679, 'lng': -79.25675769832303}]",43.77475914226679,-79.25675769832303,51 York U Go bus, Scarborough,M1S 3X2,bus,ON
12,,Bus Line,CA,Toronto,Canada,,172,"['Toronto ON', 'Canada']",4daf73bc93a037b7b06ff34a,"[{'label': 'display', 'lat': 43.774690127923705, 'lng': -79.25763862435467}]",43.774690127923705,-79.25763862435467,TTC Bus #130 - Middlefield, Scarborough,,bus,ON
13,300 Borough Drive,Bus Station,CA,Scarborough,Canada,Mccowan & Ellesmere,194,"['300 Borough Drive (Mccowan & Ellesmere)', 'Scarborough ON M1P 4P5', 'Canada']",50473729e4b0a72f369470cb,"[{'label': 'display', 'lat': 43.77441673114583, 'lng': -79.25792345519908}]",43.77441673114583,-79.25792345519908,Scarborough Centre Bus Loop, Scarborough,M1P 4P5,bus,ON
